Title,Rating,Genre,Actors,Runtime
The Filthy Frank Show,10.0,"Short, Comedy, Fantasy",George Miller,Zeeq,Artemis Holdenberry,12 min
Game of Thrones,9.5,"Adventure, Drama, Fantasy",Emilia Clarke,Peter Dinklage,Kit Harington,56 min
Breaking Bad,9.5,"Crime, Drama, Thriller",Bryan Cranston,Aaron Paul,Anna Gunn,49 min
The Wire,9.4,"Crime, Drama, Thriller",Dominic West,Lance Reddick,Sonja Sohn,59 min
TVF Pitchers,9.4,"Comedy, Drama",Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,40 min
Rick and Morty,9.3,"Animation, Adventure, Comedy",Justin Roiland,Chris Parnell,Spencer Grammer,22 min
Westworld,9.2,"Drama, Sci-Fi, Western",Evan Rachel Wood,Thandie Newton,Jeffrey Wright,60 min
Sherlock,9.2,"Crime, Drama, Mystery",Benedict Cumberbatch,Martin Freeman,Una Stubbs,88 min
The Sopranos,9.2,"Crime, Drama",James Gandolfini,Lorraine Bracco,Edie Falco,55 min
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure",Dee Bradley Baker,Zach Tyler,Mae Whitman,23 min
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama",Ali Atay,Cengiz Bozkurt,Serkan Keskin,80 min
Sarabhai vs Sarabhai,9.2,Comedy,Satish Shah,Ratna Pathak,Sumeet Raghvan,30 min
True Detective,9.1,"Crime, Drama, Mystery",Vince Vaughn,Colin Farrell,Rachel McAdams,55 min
Firefly,9.1,"Adventure, Drama, Sci-Fi",Nathan Fillion,Gina Torres,Alan Tudyk,44 min
One Punch Man: Wanpanman,9.1,"Animation, Action, Comedy",Max Mittelman,Makoto Furukawa,Kaito Ishikawa,24 min
Last Week Tonight with John Oliver,9.1,"Comedy, News, Talk-Show",John Oliver,David Kaye,Noel MacNeal,30 min
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure",Kent Williams,Iemasa Kayumi,Vic Mignogna,24 min
TVF Tripling,9.1,Drama,Sumeet Vyas,Maanvi Gagroo,Amol Parashar,30 min
Stranger Things,9.0,"Drama, Horror, Mystery",Dacre Montgomery,Winona Ryder,David Harbour,55 min
Friends,9.0,"Comedy, Romance",Jennifer Aniston,Courteney Cox,Lisa Kudrow,22 min
House of Cards,9.0,Drama,Kevin Spacey,Michel Gill,Robin Wright,51 min
Fargo,9.0,"Crime, Drama, Thriller",Billy Bob Thornton,Martin Freeman,Allison Tolman,53 min
Arrested Development,9.0,Comedy,Jason Bateman,Michael Cera,Portia de Rossi,22 min
The Twilight Zone,9.0,"Fantasy, Horror, Mystery",Rod Serling,Robert McCord,Jay Overholts,51 min
Death Note: Desu nôto,9.0,"Animation, Crime, Drama",Mamoru Miyano,Brad Swaile,Vincent Tong,24 min
Batman: The Animated Series,9.0,"Animation, Action, Adventure",Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,23 min
Kaubôi bibappu,9.0,"Animation, Action, Adventure",Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,24 min
Black Mirror,8.9,"Drama, Sci-Fi, Thriller",Hannah John-Kamen,Chris Martin Hill,Beatrice Robertson-Jones,60 min
Narcos,8.9,"Biography, Crime, Drama",Wagner Moura,Boyd Holbrook,Pedro Pascal,49 min
Freaks and Geeks,8.9,"Comedy, Drama",Linda Cardellini,John Francis Daley,James Franco,44 min
Twin Peaks,8.9,"Crime, Drama, Mystery",Kyle MacLachlan,Michael Ontkean,Mädchen Amick,47 min
Seinfeld,8.9,Comedy,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,22 min
Gravity Falls,8.9,"Animation, Adventure, Comedy",Jason Ritter,Kristen Schaal,Alex Hirsch,23 min
Only Fools and Horses....,8.9,Comedy,David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,95 min
Hunter x Hunter,8.9,"Animation, Action, Adventure",Cristina Valenzuela,Megumi Han,Mariya Ise,24 min
Monty Python's Flying Circus,8.9,Comedy,Graham Chapman,John Cleese,Terry Gilliam,30 min
The Return of Sherlock Holmes,8.9,"Crime, Drama, Mystery",Jeremy Brett,Edward Hardwicke,Rosalie Williams,60 min
Pod prikritie,8.9,"Action, Crime, Drama",See full summary,Vladimir Penev,Zachary Baharov,60 min
Kardes Payi,8.9,"Comedy, Drama, Family",Marian Valev,Ahmet Kural,Murat Cemcir,70 min
This Is Us,8.8,"Comedy, Drama",Ahmet Arslan,Milo Ventimiglia,Mandy Moore,45 min
Daredevil,8.8,"Action, Adventure, Crime",Chrissy Metz,Charlie Cox,Vincent D'Onofrio,54 min
Doctor Who,8.8,"Adventure, Drama, Family",Elden Henson,Peter Capaldi,Jenna Coleman,45 min
Peaky Blinders,8.8,"Crime, Drama",David Tennant,Cillian Murphy,Paul Anderson,60 min
The Office,8.8,Comedy,Helen McCrory,Rainn Wilson,John Krasinski,22 min
Atlanta,8.8,"Comedy, Drama",Leslie David Baker,Donald Glover,Brian Tyree Henry,30 min
South Park,8.8,"Animation, Comedy",Zazie Beetz,Trey Parker,Matt Stone,22 min
House M.D.,8.8,"Drama, Mystery",Mona Marshall,Hugh Laurie,Omar Epps,44 min
Dexter,8.8,"Crime, Drama, Mystery",Jesse Spencer,Michael C. Hall,Jennifer Carpenter,53 min
Better Call Saul,8.8,"Crime, Drama",James Remar,Bob Odenkirk,Jonathan Banks,46 min
The Simpsons,8.8,"Animation, Comedy",Michael McKean,Dan Castellaneta,Nancy Cartwright,22 min
